Nome;Partido;UF;Tipo_de_Despesa;Valor
NELSON PELLEGRINO;PT;BA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  32086,02
NELSON PELLEGRINO;PT;BA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  29600
NELSON PELLEGRINO;PT;BA;TELEFONIA;R$  23742,79
NELSON PELLEGRINO;PT;BA;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  4429,06
NELSON PELLEGRINO;PT;BA;PASSAGENS AÉREAS;R$  2375,78
NELSON PELLEGRINO;PT;BA;SERVIÇOS POSTAIS;R$  2372,3
NELSON PELLEGRINO;PT;BA;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  1165,65
NELSON PELLEGRINO;PT;BA;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  582,77
NELSON PELLEGRINO;PT;BA;PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;R$  88,4
NELSON PELLEGRINO;PT;BA;Total;R$  285714,77
PAULO AZI;DEM;BA;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  98000
PAULO AZI;DEM;BA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  84000
PAULO AZI;DEM;BA;EMISSÃO BILHETE AÉREO;R$  57481,15
PAULO AZI;DEM;BA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  26805,59
PAULO AZI;DEM;BA;COMBUSTÍVEIS E LUBRIFICANTES.;R$  11844,61
PAULO AZI;DEM;BA;TELEFONIA;R$  7329,02
PAULO AZI;DEM;BA;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  229,99
PAULO AZI;DEM;BA;Total;R$  285690,36
FÁBIO HENRIQUE;PDT;SE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  90000
FÁBIO HENRIQUE;PDT;SE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  68000
FÁBIO HENRIQUE;PDT;SE;EMISSÃO BILHETE AÉREO;R$  52877,45
FÁBIO HENRIQUE;PDT;SE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  25200
FÁBIO HENRIQUE;PDT;SE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  23700,61
FÁBIO HENRIQUE;PDT;SE;COMBUSTÍVEIS E LUBRIFICANTES.;R$  19122,3
FÁBIO HENRIQUE;PDT;SE;TELEFONIA;R$  2718,13
FÁBIO HENRIQUE;PDT;SE;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;R$  2282
FÁBIO HENRIQUE;PDT;SE;PASSAGENS AÉREAS;R$  1414,97
FÁBIO HENRIQUE;PDT;SE;SERVIÇOS POSTAIS;R$  234,3
FÁBIO HENRIQUE;PDT;SE;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  50,5
FÁBIO HENRIQUE;PDT;SE;Total;R$  285600,26
VINICIUS FARAH;MDB;RJ;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  86196,49
VINICIUS FARAH;MDB;RJ;EMISSÃO BILHETE AÉREO;R$  78006,62
VINICIUS FARAH;MDB;RJ;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  47523
VINICIUS FARAH;MDB;RJ;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  23900
VINICIUS FARAH;MDB;RJ;COMBUSTÍVEIS E LUBRIFICANTES.;R$  22400,83
VINICIUS FARAH;MDB;RJ;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  7387,51
VINICIUS FARAH;MDB;RJ;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;R$  5980
VINICIUS FARAH;MDB;RJ;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  3751,88
VINICIUS FARAH;MDB;RJ;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  2915,7
VINICIUS FARAH;MDB;RJ;TELEFONIA;R$  2879,78
VINICIUS FARAH;MDB;RJ;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  2393,99
VINICIUS FARAH;MDB;RJ;SERVIÇOS POSTAIS;R$  1276,89
VINICIUS FARAH;MDB;RJ;PASSAGENS AÉREAS;R$  914
VINICIUS FARAH;MDB;RJ;Total;R$  285526,69
LEUR LOMANTO JÚNIOR;DEM;BA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  81424,83
LEUR LOMANTO JÚNIOR;DEM;BA;EMISSÃO BILHETE AÉREO;R$  53808,39
LEUR LOMANTO JÚNIOR;DEM;BA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  50460,58
LEUR LOMANTO JÚNIOR;DEM;BA;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  42000
LEUR LOMANTO JÚNIOR;DEM;BA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  31500
LEUR LOMANTO JÚNIOR;DEM;BA;COMBUSTÍVEIS E LUBRIFICANTES.;R$  13061,39
LEUR LOMANTO JÚNIOR;DEM;BA;LOCAÇÃO OU FRETAMENTO DE AERONAVES;R$  8000
LEUR LOMANTO JÚNIOR;DEM;BA;TELEFONIA;R$  4030,74
LEUR LOMANTO JÚNIOR;DEM;BA;SERVIÇOS POSTAIS;R$  945,71
LEUR LOMANTO JÚNIOR;DEM;BA;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  89,21
LEUR LOMANTO JÚNIOR;DEM;BA;Total;R$  285320,85
PEDRO LUCAS FERNANDES;PTB;MA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  82000
PEDRO LUCAS FERNANDES;PTB;MA;EMISSÃO BILHETE AÉREO;R$  65675,98
PEDRO LUCAS FERNANDES;PTB;MA;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  62000
PEDRO LUCAS FERNANDES;PTB;MA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  36418,88
PEDRO LUCAS FERNANDES;PTB;MA;COMBUSTÍVEIS E LUBRIFICANTES.;R$  21270,82
PEDRO LUCAS FERNANDES;PTB;MA;TELEFONIA;R$  11813,67
PEDRO LUCAS FERNANDES;PTB;MA;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;R$  3000
PEDRO LUCAS FERNANDES;PTB;MA;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  2551,6
PEDRO LUCAS FERNANDES;PTB;MA;SERVIÇOS POSTAIS;R$  142,79
PEDRO LUCAS FERNANDES;PTB;MA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  92
PEDRO LUCAS FERNANDES;PTB;MA;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  51,5
PEDRO LUCAS FERNANDES;PTB;MA;Total;R$  285017,24
GUILHERME DERRITE;PP;SP;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  104000
GUILHERME DERRITE;PP;SP;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  70455,55
GUILHERME DERRITE;PP;SP;EMISSÃO BILHETE AÉREO;R$  47828,17
GUILHERME DERRITE;PP;SP;COMBUSTÍVEIS E LUBRIFICANTES.;R$  18687,42
GUILHERME DERRITE;PP;SP;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  18572,94
GUILHERME DERRITE;PP;SP;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  7099,8
GUILHERME DERRITE;PP;SP;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  4949
GUILHERME DERRITE;PP;SP;TELEFONIA;R$  4005,29
GUILHERME DERRITE;PP;SP;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  3755,94
GUILHERME DERRITE;PP;SP;PASSAGENS AÉREAS;R$  3652,16
GUILHERME DERRITE;PP;SP;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1000,9
GUILHERME DERRITE;PP;SP;PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;R$  369,02
GUILHERME DERRITE;PP;SP;SERVIÇOS POSTAIS;R$  341,97
GUILHERME DERRITE;PP;SP;Total;R$  284718,16
JERÔNIMO GOERGEN;PP;RS;EMISSÃO BILHETE AÉREO;R$  90868,19
JERÔNIMO GOERGEN;PP;RS;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  66944,76
JERÔNIMO GOERGEN;PP;RS;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  53471,55
JERÔNIMO GOERGEN;PP;RS;COMBUSTÍVEIS E LUBRIFICANTES.;R$  33749,62
JERÔNIMO GOERGEN;PP;RS;TELEFONIA;R$  12891,94
JERÔNIMO GOERGEN;PP;RS;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  11027,95
JERÔNIMO GOERGEN;PP;RS;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  4226,7
JERÔNIMO GOERGEN;PP;RS;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  3910,02
JERÔNIMO GOERGEN;PP;RS;ASSINATURA DE PUBLICAÇÕES;R$  2225,9
JERÔNIMO GOERGEN;PP;RS;SERVIÇOS POSTAIS;R$  2158,41
JERÔNIMO GOERGEN;PP;RS;PASSAGENS AÉREAS;R$  1694,78
JERÔNIMO GOERGEN;PP;RS;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  1182,09
JERÔNIMO GOERGEN;PP;RS;PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;R$  107,3
JERÔNIMO GOERGEN;PP;RS;Total;R$  284459,21
TEREZA NELMA;PSDB;AL;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  81900
TEREZA NELMA;PSDB;AL;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  64085,45
TEREZA NELMA;PSDB;AL;EMISSÃO BILHETE AÉREO;R$  49294,21
TEREZA NELMA;PSDB;AL;COMBUSTÍVEIS E LUBRIFICANTES.;R$  35395,84
TEREZA NELMA;PSDB;AL;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;R$  28700
TEREZA NELMA;PSDB;AL;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  14700
TEREZA NELMA;PSDB;AL;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  2750
TEREZA NELMA;PSDB;AL;TELEFONIA;R$  2332,84
TEREZA NELMA;PSDB;AL;SERVIÇOS POSTAIS;R$  1715,86
TEREZA NELMA;PSDB;AL;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1599,84
TEREZA NELMA;PSDB;AL;PASSAGENS AÉREAS;R$  1277,46
TEREZA NELMA;PSDB;AL;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  169,22
TEREZA NELMA;PSDB;AL;Total;R$  283920,72
LUIZ NISHIMORI;PL;PR;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  63810
LUIZ NISHIMORI;PL;PR;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  60255
LUIZ NISHIMORI;PL;PR;EMISSÃO BILHETE AÉREO;R$  49871,81
LUIZ NISHIMORI;PL;PR;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  48441
LUIZ NISHIMORI;PL;PR;COMBUSTÍVEIS E LUBRIFICANTES.;R$  34089,84
LUIZ NISHIMORI;PL;PR;TELEFONIA;R$  9061,66
LUIZ NISHIMORI;PL;PR;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  9009,63
LUIZ NISHIMORI;PL;PR;PASSAGENS AÉREAS;R$  2636,59
LUIZ NISHIMORI;PL;PR;SERVIÇOS POSTAIS;R$  2261,32
LUIZ NISHIMORI;PL;PR;ASSINATURA DE PUBLICAÇÕES;R$  1610,25
LUIZ NISHIMORI;PL;PR;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  809,6
LUIZ NISHIMORI;PL;PR;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;R$  625,84
LUIZ NISHIMORI;PL;PR;Total;R$  282482,54
MARA ROCHA;PSDB;AC;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  172530
MARA ROCHA;PSDB;AC;EMISSÃO BILHETE AÉREO;R$  45362,64
MARA ROCHA;PSDB;AC;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  25521,13
MARA ROCHA;PSDB;AC;COMBUSTÍVEIS E LUBRIFICANTES.;R$  24972,91
MARA ROCHA;PSDB;AC;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  7521,1
MARA ROCHA;PSDB;AC;LOCAÇÃO OU FRETAMENTO DE AERONAVES;R$  2000
MARA ROCHA;PSDB;AC;TELEFONIA;R$  1739,03
MARA ROCHA;PSDB;AC;SERVIÇOS POSTAIS;R$  1067,67
MARA ROCHA;PSDB;AC;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  800
MARA ROCHA;PSDB;AC;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  534,14
MARA ROCHA;PSDB;AC;Total;R$  282048,62
LUCIANO DUCCI;PSB;PR;EMISSÃO BILHETE AÉREO;R$  68711,5
LUCIANO DUCCI;PSB;PR;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  64060
LUCIANO DUCCI;PSB;PR;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  43936,32
LUCIANO DUCCI;PSB;PR;COMBUSTÍVEIS E LUBRIFICANTES.;R$  38999,69
LUCIANO DUCCI;PSB;PR;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  25500
LUCIANO DUCCI;PSB;PR;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  24250
LUCIANO DUCCI;PSB;PR;TELEFONIA;R$  10054,14
LUCIANO DUCCI;PSB;PR;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  6207,7
LUCIANO DUCCI;PSB;PR;SERVIÇOS POSTAIS;R$  156,39
LUCIANO DUCCI;PSB;PR;Total;R$  281875,74
DRA. VANDA MILANI;SOLIDARIEDADE;AC;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  126330
DRA. VANDA MILANI;SOLIDARIEDADE;AC;EMISSÃO BILHETE AÉREO;R$  46112,62
DRA. VANDA MILANI;SOLIDARIEDADE;AC;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  40303,55
DRA. VANDA MILANI;SOLIDARIEDADE;AC;COMBUSTÍVEIS E LUBRIFICANTES.;R$  37279,44
DRA. VANDA MILANI;SOLIDARIEDADE;AC;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  23320
DRA. VANDA MILANI;SOLIDARIEDADE;AC;TELEFONIA;R$  4151,02
DRA. VANDA MILANI;SOLIDARIEDADE;AC;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  2133,37
DRA. VANDA MILANI;SOLIDARIEDADE;AC;PASSAGENS AÉREAS;R$  1138,57
DRA. VANDA MILANI;SOLIDARIEDADE;AC;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1049
DRA. VANDA MILANI;SOLIDARIEDADE;AC;Total;R$  281817,57
OTACI NASCIMENTO;SOLIDARIEDADE;RR;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  64800
OTACI NASCIMENTO;SOLIDARIEDADE;RR;EMISSÃO BILHETE AÉREO;R$  57887,19
OTACI NASCIMENTO;SOLIDARIEDADE;RR;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  49300
OTACI NASCIMENTO;SOLIDARIEDADE;RR;COMBUSTÍVEIS E LUBRIFICANTES.;R$  37531,4
OTACI NASCIMENTO;SOLIDARIEDADE;RR;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  37484,6
OTACI NASCIMENTO;SOLIDARIEDADE;RR;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  28000
OTACI NASCIMENTO;SOLIDARIEDADE;RR;SERVIÇOS POSTAIS;R$  3471,39
OTACI NASCIMENTO;SOLIDARIEDADE;RR;TELEFONIA;R$  3244,68
OTACI NASCIMENTO;SOLIDARIEDADE;RR;Total;R$  281719,26
VALMIR ASSUNÇÃO;PT;BA;EMISSÃO BILHETE AÉREO;R$  107690,27
VALMIR ASSUNÇÃO;PT;BA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  41395,12
VALMIR ASSUNÇÃO;PT;BA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  36400
VALMIR ASSUNÇÃO;PT;BA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  30000
VALMIR ASSUNÇÃO;PT;BA;COMBUSTÍVEIS E LUBRIFICANTES.;R$  25253,15
VALMIR ASSUNÇÃO;PT;BA;TELEFONIA;R$  20262,13
VALMIR ASSUNÇÃO;PT;BA;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  13500
VALMIR ASSUNÇÃO;PT;BA;PASSAGENS AÉREAS;R$  4141,12
VALMIR ASSUNÇÃO;PT;BA;SERVIÇOS POSTAIS;R$  2429,57
VALMIR ASSUNÇÃO;PT;BA;PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;R$  379,45
VALMIR ASSUNÇÃO;PT;BA;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  260
VALMIR ASSUNÇÃO;PT;BA;Total;R$  281710,81
MOSES RODRIGUES;MDB;CE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  149000
MOSES RODRIGUES;MDB;CE;EMISSÃO BILHETE AÉREO;R$  71154,64
MOSES RODRIGUES;MDB;CE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  39200
MOSES RODRIGUES;MDB;CE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  7089,1
MOSES RODRIGUES;MDB;CE;COMBUSTÍVEIS E LUBRIFICANTES.;R$  6707,98
MOSES RODRIGUES;MDB;CE;TELEFONIA;R$  3574,58
MOSES RODRIGUES;MDB;CE;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  2434
MOSES RODRIGUES;MDB;CE;SERVIÇOS POSTAIS;R$  2320,51
MOSES RODRIGUES;MDB;CE;Total;R$  281480,81
MÁRCIO BIOLCHI;MDB;RS;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  73649,58
MÁRCIO BIOLCHI;MDB;RS;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  70480
MÁRCIO BIOLCHI;MDB;RS;EMISSÃO BILHETE AÉREO;R$  64243,04
MÁRCIO BIOLCHI;MDB;RS;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  31861,26
MÁRCIO BIOLCHI;MDB;RS;COMBUSTÍVEIS E LUBRIFICANTES.;R$  19427,93
MÁRCIO BIOLCHI;MDB;RS;TELEFONIA;R$  5784,19
MÁRCIO BIOLCHI;MDB;RS;PASSAGENS AÉREAS;R$  5458,88
MÁRCIO BIOLCHI;MDB;RS;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  4545,19
MÁRCIO BIOLCHI;MDB;RS;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  3417,52
MÁRCIO BIOLCHI;MDB;RS;SERVIÇOS POSTAIS;R$  2140,44
MÁRCIO BIOLCHI;MDB;RS;PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;R$  297,3
MÁRCIO BIOLCHI;MDB;RS;Total;R$  281305,33
BETO ROSADO;PP;RN;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  97500
BETO ROSADO;PP;RN;EMISSÃO BILHETE AÉREO;R$  77518,01
BETO ROSADO;PP;RN;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  42004,95
BETO ROSADO;PP;RN;COMBUSTÍVEIS E LUBRIFICANTES.;R$  38848,47
BETO ROSADO;PP;RN;SERVIÇOS POSTAIS;R$  7923,8
BETO ROSADO;PP;RN;PASSAGENS AÉREAS;R$  4720,4
BETO ROSADO;PP;RN;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  3608,68
BETO ROSADO;PP;RN;TELEFONIA;R$  3520,57
BETO ROSADO;PP;RN;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  3021,9
BETO ROSADO;PP;RN;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  2057,28
BETO ROSADO;PP;RN;Total;R$  280724,06
REGINALDO LOPES;PT;MG;EMISSÃO BILHETE AÉREO;R$  116147,6
REGINALDO LOPES;PT;MG;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  55884,73
REGINALDO LOPES;PT;MG;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  31200
REGINALDO LOPES;PT;MG;COMBUSTÍVEIS E LUBRIFICANTES.;R$  26718,45
REGINALDO LOPES;PT;MG;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  23100
REGINALDO LOPES;PT;MG;ASSINATURA DE PUBLICAÇÕES;R$  10500
REGINALDO LOPES;PT;MG;TELEFONIA;R$  7658,57
REGINALDO LOPES;PT;MG;SERVIÇOS POSTAIS;R$  5313,06
REGINALDO LOPES;PT;MG;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  3038,26
REGINALDO LOPES;PT;MG;PASSAGENS AÉREAS;R$  934,39
REGINALDO LOPES;PT;MG;Total;R$  280495,06
MARCOS AURÉLIO SAMPAIO;MDB;PI;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  120000
MARCOS AURÉLIO SAMPAIO;MDB;PI;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  59000
MARCOS AURÉLIO SAMPAIO;MDB;PI;EMISSÃO BILHETE AÉREO;R$  51068,28
MARCOS AURÉLIO SAMPAIO;MDB;PI;COMBUSTÍVEIS E LUBRIFICANTES.;R$  27946,83
MARCOS AURÉLIO SAMPAIO;MDB;PI;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  17162,06
MARCOS AURÉLIO SAMPAIO;MDB;PI;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  4775,5
MARCOS AURÉLIO SAMPAIO;MDB;PI;TELEFONIA;R$  55,21
MARCOS AURÉLIO SAMPAIO;MDB;PI;Total;R$  280007,88
PR. MARCO FELICIANO;PODE;SP;EMISSÃO BILHETE AÉREO;R$  168848,54
PR. MARCO FELICIANO;PODE;SP;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  80000
PR. MARCO FELICIANO;PODE;SP;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  19200
PR. MARCO FELICIANO;PODE;SP;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  5777,5
PR. MARCO FELICIANO;PODE;SP;TELEFONIA;R$  3052,6
PR. MARCO FELICIANO;PODE;SP;COMBUSTÍVEIS E LUBRIFICANTES.;R$  2505,03
PR. MARCO FELICIANO;PODE;SP;SERVIÇOS POSTAIS;R$  379,46
PR. MARCO FELICIANO;PODE;SP;Total;R$  279763,13
SEBASTIÃO OLIVEIRA;PL;PE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  61700
SEBASTIÃO OLIVEIRA;PL;PE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  52500
SEBASTIÃO OLIVEIRA;PL;PE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  50000
SEBASTIÃO OLIVEIRA;PL;PE;EMISSÃO BILHETE AÉREO;R$  45239,5
SEBASTIÃO OLIVEIRA;PL;PE;COMBUSTÍVEIS E LUBRIFICANTES.;R$  31989,41
SEBASTIÃO OLIVEIRA;PL;PE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  21094,67
SEBASTIÃO OLIVEIRA;PL;PE;LOCAÇÃO OU FRETAMENTO DE AERONAVES;R$  11000
SEBASTIÃO OLIVEIRA;PL;PE;TELEFONIA;R$  3987,61
SEBASTIÃO OLIVEIRA;PL;PE;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  914,5
SEBASTIÃO OLIVEIRA;PL;PE;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  612,4
SEBASTIÃO OLIVEIRA;PL;PE;SERVIÇOS POSTAIS;R$  593,68
SEBASTIÃO OLIVEIRA;PL;PE;Total;R$  279631,77
PAULO BENGTSON;PTB;PA;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  126000
PAULO BENGTSON;PTB;PA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  49950
PAULO BENGTSON;PTB;PA;EMISSÃO BILHETE AÉREO;R$  46211,64
PAULO BENGTSON;PTB;PA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  20800
PAULO BENGTSON;PTB;PA;COMBUSTÍVEIS E LUBRIFICANTES.;R$  14600,98
PAULO BENGTSON;PTB;PA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  12004,2
PAULO BENGTSON;PTB;PA;TELEFONIA;R$  3400,02
PAULO BENGTSON;PTB;PA;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  2648,18
PAULO BENGTSON;PTB;PA;SERVIÇOS POSTAIS;R$  2474,74
PAULO BENGTSON;PTB;PA;PASSAGENS AÉREAS;R$  1492,85
PAULO BENGTSON;PTB;PA;Total;R$  279582,61
CAMILO CAPIBERIBE;PSB;AP;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  79300
CAMILO CAPIBERIBE;PSB;AP;EMISSÃO BILHETE AÉREO;R$  56109,67
